year,published,arxiv_id,title,authors,url,categories,match_terms,technical_tags
1998,1998-11-26,gr-qc/9811091,Effective one-body approach to general relativistic two-body dynamics,A. Buonanno; T. Damour,https://arxiv.org/abs/gr-qc/9811091,gr-qc;astro-ph,effective-one-body,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums
2000,2000-01-07,gr-qc/0001013,Transition from inspiral to plunge in binary black hole coalescences,Alessandra Buonanno; Thibault Damour,https://arxiv.org/abs/gr-qc/0001013,gr-qc,manual_eob_core,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums;data_analysis_lvkc
2000,2000-05-10,gr-qc/0005034,On the determination of the last stable orbit for circular general relativistic binaries at the third post-Newtonian approximation,Thibault Damour; Piotr Jaranowski; Gerhard Schaefer,https://arxiv.org/abs/gr-qc/0005034,gr-qc,effective-one-body,foundations_hamiltonian_pn_pm;resummation_flux_waveform;gsf_gauge_invariants
2000,2000-10-04,gr-qc/0010009,A Comparison of search templates for gravitational waves from binary inspiral,Thibault Damour; Bala R. Iyer; B. S. Sathyaprakash,https://arxiv.org/abs/gr-qc/0010009,gr-qc,effective-one-body,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;data_analysis_lvkc
2000,2000-10-27,gr-qc/0010104,Effective one-body approach to the relativistic two-body problem,P. P. Fiziev; I. T. Todorov,https://arxiv.org/abs/gr-qc/0010104,gr-qc,effective-one-body,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums
2001,2001-03-07,gr-qc/0103018,Coalescence of Two Spinning Black Holes: An Effective One-Body Approach,Thibault Damour,https://arxiv.org/abs/gr-qc/0103018,gr-qc,effective-one-body,foundations_hamiltonian_pn_pm;resummation_flux_waveform;spin_precession;data_analysis_lvkc
2001,2001-12-21,gr-qc/0112056,Innermost circular orbit of binary black holes at the third post-Newtonian approximation,Luc Blanchet,https://arxiv.org/abs/gr-qc/0112056,gr-qc,effective-one-body,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;spin_precession
2002,2002-04-03,gr-qc/0204011,Circular orbits of corotating binary black holes: comparison between analytical and numerical results,T. Damour; E. Gourgoulhon; P. Grandclement,https://arxiv.org/abs/gr-qc/0204011,gr-qc;astro-ph,effective-one-body;EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;spin_precession
2002,2002-08-29,gr-qc/0208089,Numerically generated quasi-equilibrium orbits of black holes: Circular or eccentric?,Thierry Mora; Clifford M. Will,https://arxiv.org/abs/gr-qc/0208089,gr-qc,effective-one-body,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;spin_precession;eccentric_hyperbolic_scattering
2002,2002-11-12,gr-qc/0211041,Gravitational waves from black hole binary inspiral and merger: The span of third post-Newtonian effective-one-body templates,Thibault Damour; Bala R. Iyer; Piotr Jaranowski; B. S. Sathyaprakash,https://arxiv.org/abs/gr-qc/0211041,gr-qc,effective-one-body;EOB,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums;data_analysis_lvkc
2005,2005-08-16,gr-qc/0508067,Transition from inspiral to plunge in precessing binaries of spinning black holes,Alessandra Buonanno; Yanbei Chen; Thibault Damour,https://arxiv.org/abs/gr-qc/0508067,gr-qc,effective-one-body,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;spin_precession
2006,2006-02-28,gr-qc/0602117,Gravitational Recoil during Binary Black Hole Coalescence using the Effective One Body Approach,Thibault Damour; Achamveedu Gopakumar,https://arxiv.org/abs/gr-qc/0602117,gr-qc;astro-ph,effective-one-body,resummation_flux_waveform;spin_precession
2006,2006-12-15,gr-qc/0612096,Binary black hole merger in the extreme mass ratio limit,Alessandro Nagar; Thibault Damour; Angelo Tartaglia,https://arxiv.org/abs/gr-qc/0612096,gr-qc,effective-one-body;EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;emri_test_mass_teukolsky
2006,2006-12-23,gr-qc/0612151,Binary black hole merger waveforms in the extreme mass ratio limit,Thibault Damour; Alessandro Nagar,https://arxiv.org/abs/gr-qc/0612151,gr-qc,effective-one-body,nr_calibration_eobnr_seobnr_teobresums;emri_test_mass_teukolsky
